20090120,melbourne writer hopes of royal pardon,0
20091124,george puts tigers on back foot,0
20060718,federal govt urged to consider water fund changes,0
20100703,another cup let down for kaka,0
20161219,uniting church residential care homes close nsw after review,0
20130530,sluggish magpies need to rescue their season,0
20171008,indonesia police arrest 58 in raid on jakarta gay sauna,0
20150413,grandstand monday april 13,0
20120810,booth appeal at diggers 2012,0
20100828,wozniackis purple patch continues,0
20080628,huskies picnic draws big crowd,0
20130712,bourke dialysis,1
20190508,brunei bows to backlash over gay sex laws,1
20070528,petrol sniffers target used car yard,0
20040630,gilchrist predicts torrid darwin test,0
20170719,wednesday markets with henry jennings,0
20101120,off to gaol for a good time,1
20170619,jack quigley wallabies facebook rant goes viral,0
20120301,glen innes drug bust,0
20070618,tougher adelaide water use bans might go into,0
20090627,g8 ministers deplore iran violence,1
20111019,wait continues for snowy scientific committee,0
20170830,western force andrew forrest demands aru chairman clyne resign,0
20050718,group wants graziers to have more say in water,0
20101010,ticket fraud emerges in delhi,1
20120308,test in balance as nz takes slim lead,0
20170823,new trading hours laws queensland parliament,0
20131212,david smith leaves todd carney to answer asada questions,0
20150501,launceston man appears in court over dangerous driving,0
20100519,thieves cause 10k damage at pcyc,0
20060411,dementia plan outcomes disappoint lobby group,0
20050129,gallop to cap students bus fares,0
20190905,water restrictions dam levels south east queensland brisbane,0
20150723,white house in final stages of planning to close guantanamo,1
20040219,profit long way off for ailing leagues club,0
20170811,royal adelaide hospital turf war queen elizabeth stroke deaths,0
20090118,two dead six missing in french military chopper,1
20200811,limestone coast shores up face mask supply with sa made masks,1
20080703,indigenous inmates need to maintain country,1
20101123,contracts awarded for bridge upgrades,0
20141115,scottish nationalists name new leader to maintain independence,1
20170226,wildcats land first blow with game one win over hawks nbl finals,0
20051230,dominant aussies thrash proteas,0
20040707,toyota sign three year deal with ralf schumacher,0
20040125,police search for missing man,0
20100215,welfare quarantining under senate spotlight,0
20030924,cardenas climbs to victory nozal holds lead,0
20071218,meeting to discuss road closure decision,0
20050507,six cambodian workers shot dead at thai factory,0
20101120,nato leaders agree to new missile shield,1
20130607,travellers stranded in the kimberley unseasonal rain,0
20041227,melbourne to hobart racers stop to help struggling,0
20201029,wa new health advice as pressure mounts to open border,1
20130814,killer loses bid against convictions,0
20040428,schuettlers return to form continues,0
20111208,killer sentenced over williams' murder,0
20200406,nsw authorities confirm two new virus deaths,1
20090303,societe generale axes australian jobs,0
20100901,man charged after amphetamines found in house,0
20060816,beattie promises 500m water plan,1
20100507,proteas fined for slow over rate,0
20050607,irc delivers minimum wage rise,1
20070321,cbh defends precautions against contamination,1
20200509,truckin on: white line warriors deliver despite,0
20140201,mariners boost defence by signing bosnar,0
20030423,waratahs deny blacklock league rumours,0
20130328,acid soils pose threat to critical fish habitat,1
20041027,mental health group happy with clubhouse approval,0
20160706,aged care workers take industrial action amid bullying claims,1
20101202,great bike ride route revealed,0
20080219,autopsy doctor says only one fatal blow to stabbed,0
20100824,vatuvei re signs with warriors,0
20040506,nrl dismisses casino misconduct claims,0
20100311,drug raid turns up order of australia medal,0
20111012,port allocation concern,0
20101022,wilkie calls for gay marriage conscience vote,1
20070105,bainimarama wont announce cabinet today,0
20050531,england happy as jones gets back in the swing,0
20050111,kolkata likely venue for return game,0
20120809,council rejects cunnamulla fluoride plans,0
20121107,romney thanks supprters in ohio,0
20050116,iraqi guards aid worker killed,1
20140430,wstern australia shark cull trial ends extension sought,0
20110626,eade still aiming for finals,0
20070216,woman to face court accused of credit card fraud,0
20170831,a big country coconut chips a hit,1
20180308,veterans head to england for bomber command memorial lancaster,0
20101207,england takes the upper hand,0
20160810,andrew denton speaks at the national press club,0
20050314,man wanted over nightclub gun firing,0
20030508,health minister praises new cancer treatment centre,0
20060115,arundhati roy refuses indian award,0
20060814,burton in doubt for finals,0
20171002,can coffee cups be recycled in canberra,0
20050722,police stop work over planned work changes,0
20160624,sydney greenacre factory fire almost fully extinguished,0
20070911,basslink buoys hydro capacity,0
20080423,police warning over holiday bans,0
20201202,rba governor phil lowe says good time for first home buyers,0
20071008,inquiry hears suggestions for regulating petrol,0
